B66959378	5667	0	order
B66958983	2126	0	order
B66954804	5460	0	order
B67960038	2647	0	order
B67960039	2382	0	order
A22268077058U51	2817	0	order
A22268050488U51	1683	0	order
A22268076058U51	4098	0	order
A21368001068U51	2249	0	order
A21368063039G32	989	0	order
A21368035059J74	6401	0	order
A21368016029G32	2472	0	order
A21368002069G33	1793	0	order
A25368037038U51	3329	0	order
B66961115	11203	0	order
A17768003039G32	1597	0	order
A0005852503	244	0	order
A0005836503	3314	0	order
B66959721	2480	0	order
A0008170414	6213	0	order
A2208170815	1825	0	order
A2138204503	8239	0	order
A2138206003	11235	0	order
B66450389	5667	0	order
B66959706	3197	0	order
B66959654	3586	0	order
A90768048019G33	5837	0	order
A90768065019G32	4675	0	order
A24368085009051	8076	0	order
A24368091009051	4933	0	order
A17768079029G33	4046	0	order
A24768002039G33	1889	0	order
A25368041059G33	2970	0	order
A25368073029G63	7569	0	order
A25368028029J74	5889	0	order
A17768044049051	4727	0	order
A17768032049051	7990	0	order
A4638140000	7313	0	order
A46368443009H42	13258	0	order
A25368053019G32	3127	0	order
A24768073029G32	1788	0	order
A2478140000	3127	0	order
A2058140500	4610	0	order
A2478140400	6750	0	order
A17768038049051	4727	0	order
A17768085029G33	2459	0	order
B66959844	2382	0	order
B66959828	1906	0	order
B66041705	2117	0	order
B66959235	2773	0	order
B66958988	7490	0	order
B66041761	5633	0	order
B66959236	3687	0	order
B66959321	3984	0	order
B66959320	5243	0	order
B66958985	9144	0	order
B66042025	4039	0	order
B66042026	3401	0	order
B67872866	3118	0	order
B66955014	3197	0	order
A2048900878	3518	0	order
A16768079069G33	2993	0	order
A16768063069G33	5115	0	order
A16768076069G33	3073	0	order
A46368047069051	15581	0	order
B66570012	5023	0	order
A16768097049G32	2030	0	order
A16768089049G32	3995	0	order
A16768003089G33	3073	0	order
A1676846500	7916	0	order
A1678140100	7313	0	order
A1176802800	6724	0	order
A24268006489G33	1628	0	order
A6396804748	4534	0	order
A6396806648	3708	0	order
A6396806548	3733	0	order
A23868077018U51	4223	0	order
A23868083019G33	2714	0	order
A23868077019G33	4660	0	order
A4476808800	1984	0	order
A4476808200	4322	0	order
A4476809701	3543	0	order
A4476809601	3543	0	order
A4476806900	1243	0	order
A4476809302	4675	0	order
A4476804000	4109	0	order
A16668004489G63	6914	0	order
A25368059019G32	1648	0	order
A16668416007J07	5592	0	order
A16668416009051	6105	0	order
A21268062029G33	5377	0	order
A16668035017J07	4525	0	order
A2468140000	4855	0	order
B66290104	2019	0	order
B66293844	7279	0	order
B66359159	4392	0	order
A000986437416	717	0	order
A001986257112	750	0	order
A0009861462	300	0	order
A2548175600	4442	0	order
A2548176400	4429	0	order
